scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,variant,phase_buildUs,phase_layoutUs,phase_paintUs,phase_semanticsUs,phase_semanticTreeUs,phase_coverageUs,phase_semanticDiffUs,phase_semanticEncodeUs
board-16-keyed-false,all-labels,160,341,514,160,structured,1359462507,1,after,17,0,8,199,66,26,6,97
board-16-keyed-false,reverse,160,326,461,160,structured,1359462507,1,after,16,1,8,190,64,25,5,94
board-16-keyed-false,replace-subtree,160,452,589,160,structured,1359462507,1,after,66,2,8,239,66,25,6,137
board-16-keyed-true,one-label,160,112,145,160,structured,1359462507,1,after,21,0,7,57,32,13,4,6
board-16-keyed-true,all-labels,160,289,425,160,structured,1359462507,1,after,29,0,7,148,33,25,5,83
board-16-keyed-true,reverse,160,307,414,160,structured,1359462507,1,after,23,0,7,170,33,25,5,105
board-16-keyed-true,replace-subtree,160,381,558,160,structured,1359462507,1,after,80,2,8,177,35,25,5,109
board-64-keyed-false,one-label,160,379,513,160,structured,251641503,1,after,19,0,39,288,244,16,18,7
board-64-keyed-false,all-labels,160,1036,1194,160,structured,251641503,1,after,61,0,41,694,258,49,23,351
board-64-keyed-false,reverse,160,1044,1274,160,structured,251641503,1,after,62,4,43,695,260,50,24,353
board-64-keyed-false,replace-subtree,160,1752,2080,160,structured,251641503,1,after,547,8,47,868,266,50,26,522
board-64-keyed-true,one-label,160,316,468,160,structured,251641503,1,after,80,0,38,167,123,17,18,7
board-64-keyed-true,all-labels,160,897,1178,160,structured,251641503,1,after,120,0,40,505,131,49,21,299
board-64-keyed-true,reverse,160,937,1139,160,structured,251641503,1,after,90,2,41,564,128,50,24,356
board-64-keyed-true,replace-subtree,160,1570,1923,160,structured,251641503,1,after,614,8,47,636,141,51,25,411
board-256-keyed-false,one-label,160,1383,1672,160,structured,251641503,1,after,85,0,139,1112,992,27,76,10
board-256-keyed-false,all-labels,160,3323,3675,160,structured,251641503,1,after,251,0,149,2648,1068,64,109,1365
board-256-keyed-false,reverse,160,3366,3791,160,structured,251641503,1,after,261,28,156,2647,1064,65,111,1365
board-256-keyed-false,replace-subtree,160,11439,42962,160,structured,251641503,1,after,7133,59,180,3630,1135,68,125,2266
board-256-keyed-true,one-label,160,1143,2831,160,structured,251641503,1,after,330,0,139,623,506,29,75,11
board-256-keyed-true,all-labels,160,3802,16477,160,structured,251641503,1,after,541,0,148,2245,593,66,102,1200
board-256-keyed-true,reverse,160,2325,8440,160,structured,251641503,1,after,395,12,154,1329,524,63,85,608
board-256-keyed-true,replace-subtree,160,12136,47318,160,structured,251641503,1,after,7591,59,181,2848,584,64,118,2012
board-16-keyed-false,one-label,160,148,301,160,structured,1359462507,1,base,18,0,7,96,62,12,4,7
board-16-keyed-false,all-labels,160,727,1277,160,structured,1359462507,1,base,213,0,9,342,65,26,6,99
board-16-keyed-false,reverse,160,795,1876,160,structured,1359462507,1,base,215,2,59,348,66,26,7,101
board-16-keyed-false,replace-subtree,160,548,1000,160,structured,1359462507,1,base,127,2,9,247,69,26,6,140
board-16-keyed-true,one-label,160,121,161,160,structured,1359462507,1,base,26,0,7,61,32,13,4,6
board-16-keyed-true,all-labels,160,428,559,160,structured,1359462507,1,base,109,0,7,206,33,25,5,84
board-16-keyed-true,reverse,160,403,589,160,structured,1359462507,1,base,29,0,35,230,33,25,6,106
board-16-keyed-true,replace-subtree,160,456,651,160,structured,1359462507,1,base,152,1,9,180,36,25,6,110
board-64-keyed-false,one-label,160,415,1645,160,structured,251641503,1,base,36,0,39,303,248,17,18,8
board-64-keyed-false,all-labels,160,2862,3143,160,structured,251641503,1,base,1091,0,46,1426,254,51,24,353
board-64-keyed-false,reverse,160,2855,3095,160,structured,251641503,1,base,1069,5,97,1394,250,50,23,346
board-64-keyed-false,replace-subtree,160,2649,3313,160,structured,251641503,1,base,1407,7,47,870,264,49,25,518
board-64-keyed-true,one-label,160,326,452,160,structured,251641503,1,base,84,0,38,170,122,17,17,7
board-64-keyed-true,all-labels,160,1474,4749,160,structured,251641503,1,base,435,0,41,730,127,49,21,302
board-64-keyed-true,reverse,160,1353,2914,160,structured,251641503,1,base,102,3,155,817,130,50,25,366
