stage,variant,run,kind,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us
hash-sharing-trial,sharing,0,spans,1000,resize,60,60,0,2232575019,5717,6350
hash-sharing-trial,sharing,0,spans,1000,drag,60,60,0,2618650863,122,141
hash-sharing-trial,sharing,0,spans,1000,copy,60,0,16730,619799109,159,315
hash-sharing-trial,sharing,1,spans,1000,open,60,60,0,2232575019,11185,12299
hash-sharing-trial,sharing,1,spans,1000,rebuild-same,60,0,0,2232575019,130,191
hash-sharing-trial,sharing,1,spans,1000,rebuild-equal,60,0,0,2232575019,143,215
hash-sharing-trial,sharing,1,spans,1000,edit,60,60,0,4052510319,11658,13424
hash-sharing-trial,sharing,1,spans,1000,resize,60,60,0,2232575019,5746,6311
hash-sharing-trial,sharing,1,spans,1000,drag,60,60,0,2618650863,123,162
hash-sharing-trial,sharing,1,spans,1000,copy,60,0,16730,619799109,161,272
hash-sharing-trial,sharing,0,plain,1000,open,60,60,0,1830451483,2852,3156
hash-sharing-trial,sharing,0,plain,1000,rebuild-same,60,0,0,1830451483,78,78
hash-sharing-trial,sharing,0,plain,1000,rebuild-equal,60,0,0,1830451483,76,79
hash-sharing-trial,sharing,0,plain,1000,edit,60,60,0,37686951,2766,3012
hash-sharing-trial,sharing,0,plain,1000,resize,60,60,0,1830451483,2003,2160
hash-sharing-trial,sharing,0,plain,1000,drag,60,60,0,1797951353,105,134
hash-sharing-trial,sharing,0,plain,1000,copy,60,0,16730,4053437227,137,151
hash-sharing-trial,sharing,1,plain,1000,open,60,60,0,1830451483,2862,3495
hash-sharing-trial,sharing,1,plain,1000,rebuild-same,60,0,0,1830451483,79,110
hash-sharing-trial,sharing,1,plain,1000,rebuild-equal,60,0,0,1830451483,81,87
hash-sharing-trial,sharing,1,plain,1000,edit,60,60,0,37686951,2811,2995
hash-sharing-trial,sharing,1,plain,1000,resize,60,60,0,1830451483,1954,2140
hash-sharing-trial,sharing,1,plain,1000,drag,60,60,0,1797951353,104,124
hash-sharing-trial,sharing,1,plain,1000,copy,60,0,16730,4053437227,138,160
ascii-sharing,runs,0,rich,1000,open,60,60,0,3858414627,10520,12488
ascii-sharing,runs,0,rich,1000,rebuild-same,60,0,0,3858414627,100,106
ascii-sharing,runs,0,rich,1000,rebuild-equal,60,0,0,3858414627,105,118
ascii-sharing,runs,0,rich,1000,edit,60,60,0,2284405263,11807,14992
ascii-sharing,runs,0,rich,1000,resize,60,60,0,3858414627,6114,6739
ascii-sharing,runs,0,rich,1000,drag,60,60,0,3831988741,135,163
ascii-sharing,runs,0,rich,1000,copy,60,0,16730,2752129767,161,185
ascii-sharing,runs,1,rich,1000,open,60,60,0,3858414627,10398,12347
ascii-sharing,runs,1,rich,1000,rebuild-same,60,0,0,3858414627,98,114
ascii-sharing,runs,1,rich,1000,rebuild-equal,60,0,0,3858414627,106,122
ascii-sharing,runs,1,rich,1000,edit,60,60,0,2284405263,11210,13798
ascii-sharing,runs,1,rich,1000,resize,60,60,0,3858414627,6077,6623
ascii-sharing,runs,1,rich,1000,drag,60,60,0,3831988741,127,147
ascii-sharing,runs,1,rich,1000,copy,60,0,16730,2752129767,176,209
ascii-sharing,runs,0,spans,1000,open,60,60,0,2232575019,10648,11868
ascii-sharing,runs,0,spans,1000,rebuild-same,60,0,0,2232575019,140,180
ascii-sharing,runs,0,spans,1000,rebuild-equal,60,0,0,2232575019,144,170
ascii-sharing,runs,0,spans,1000,edit,60,60,0,4052510319,11439,15670
ascii-sharing,runs,0,spans,1000,resize,60,60,0,2232575019,5992,6625
ascii-sharing,runs,0,spans,1000,drag,60,60,0,2618650863,123,134
ascii-sharing,runs,0,spans,1000,copy,60,0,16730,619799109,157,189
ascii-sharing,runs,1,spans,1000,open,60,60,0,2232575019,10572,12454
ascii-sharing,runs,1,spans,1000,rebuild-same,60,0,0,2232575019,130,138
ascii-sharing,runs,1,spans,1000,rebuild-equal,60,0,0,2232575019,149,155
ascii-sharing,runs,1,spans,1000,edit,60,60,0,4052510319,10985,15204
ascii-sharing,runs,1,spans,1000,resize,60,60,0,2232575019,5903,6481
ascii-sharing,runs,1,spans,1000,drag,60,60,0,2618650863,134,141
ascii-sharing,runs,1,spans,1000,copy,60,0,16730,619799109,168,203
ascii-sharing,runs,0,plain,1000,open,60,60,0,1830451483,2766,3063
ascii-sharing,runs,0,plain,1000,rebuild-same,60,0,0,1830451483,83,93
ascii-sharing,runs,0,plain,1000,rebuild-equal,60,0,0,1830451483,79,88
ascii-sharing,runs,0,plain,1000,edit,60,60,0,37686951,2876,3097
ascii-sharing,runs,0,plain,1000,resize,60,60,0,1830451483,2056,2286
ascii-sharing,runs,0,plain,1000,drag,60,60,0,1797951353,104,114
ascii-sharing,runs,0,plain,1000,copy,60,0,16730,4053437227,145,174
ascii-sharing,runs,1,plain,1000,open,60,60,0,1830451483,2902,3170
ascii-sharing,runs,1,plain,1000,rebuild-same,60,0,0,1830451483,85,96
ascii-sharing,runs,1,plain,1000,rebuild-equal,60,0,0,1830451483,86,99
ascii-sharing,runs,1,plain,1000,edit,60,60,0,37686951,2945,3146
ascii-sharing,runs,1,plain,1000,resize,60,60,0,1830451483,2024,2209
ascii-sharing,runs,1,plain,1000,drag,60,60,0,1797951353,111,131
ascii-sharing,runs,1,plain,1000,copy,60,0,16730,4053437227,151,169
ascii-sharing,ascii,0,rich,1000,open,60,60,0,3858414627,9336,11186
ascii-sharing,ascii,0,rich,1000,rebuild-same,60,0,0,3858414627,96,100
ascii-sharing,ascii,0,rich,1000,rebuild-equal,60,0,0,3858414627,105,117
ascii-sharing,ascii,0,rich,1000,edit,60,60,0,2284405263,9372,11283
ascii-sharing,ascii,0,rich,1000,resize,60,60,0,3858414627,6097,6602
ascii-sharing,ascii,0,rich,1000,drag,60,60,0,3831988741,136,151
ascii-sharing,ascii,0,rich,1000,copy,60,0,16730,2752129767,159,199
ascii-sharing,ascii,1,rich,1000,open,60,60,0,3858414627,9354,11813
ascii-sharing,ascii,1,rich,1000,rebuild-same,60,0,0,3858414627,100,106
ascii-sharing,ascii,1,rich,1000,rebuild-equal,60,0,0,3858414627,107,125
ascii-sharing,ascii,1,rich,1000,edit,60,60,0,2284405263,9453,12552
ascii-sharing,ascii,1,rich,1000,resize,60,60,0,3858414627,6043,6621
ascii-sharing,ascii,1,rich,1000,drag,60,60,0,3831988741,133,167
ascii-sharing,ascii,1,rich,1000,copy,60,0,16730,2752129767,163,207
ascii-sharing,ascii,0,spans,1000,open,60,60,0,2232575019,10073,11263
ascii-sharing,ascii,0,spans,1000,rebuild-same,60,0,0,2232575019,134,208
ascii-sharing,ascii,0,spans,1000,rebuild-equal,60,0,0,2232575019,141,183
ascii-sharing,ascii,0,spans,1000,edit,60,60,0,4052510319,9899,11597
ascii-sharing,ascii,0,spans,1000,resize,60,60,0,2232575019,5846,6282
ascii-sharing,ascii,0,spans,1000,drag,60,60,0,2618650863,124,132
ascii-sharing,ascii,0,spans,1000,copy,60,0,16730,619799109,161,244
ascii-sharing,ascii,1,spans,1000,open,60,60,0,2232575019,9924,11293
ascii-sharing,ascii,1,spans,1000,rebuild-same,60,0,0,2232575019,131,217
ascii-sharing,ascii,1,spans,1000,rebuild-equal,60,0,0,2232575019,145,157
ascii-sharing,ascii,1,spans,1000,edit,60,60,0,4052510319,10443,11942
ascii-sharing,ascii,1,spans,1000,resize,60,60,0,2232575019,5948,6503
ascii-sharing,ascii,1,spans,1000,drag,60,60,0,2618650863,131,143
ascii-sharing,ascii,1,spans,1000,copy,60,0,16730,619799109,173,259
ascii-sharing,ascii,0,plain,1000,open,60,60,0,1830451483,2876,3055
ascii-sharing,ascii,0,plain,1000,rebuild-same,60,0,0,1830451483,82,96
ascii-sharing,ascii,0,plain,1000,rebuild-equal,60,0,0,1830451483,77,93
ascii-sharing,ascii,0,plain,1000,edit,60,60,0,37686951,2911,3084
ascii-sharing,ascii,0,plain,1000,resize,60,60,0,1830451483,2039,2243
ascii-sharing,ascii,0,plain,1000,drag,60,60,0,1797951353,102,115
ascii-sharing,ascii,0,plain,1000,copy,60,0,16730,4053437227,139,164
ascii-sharing,ascii,1,plain,1000,open,60,60,0,1830451483,2928,3086
ascii-sharing,ascii,1,plain,1000,rebuild-same,60,0,0,1830451483,77,85
ascii-sharing,ascii,1,plain,1000,rebuild-equal,60,0,0,1830451483,84,90
ascii-sharing,ascii,1,plain,1000,edit,60,60,0,37686951,2963,3172
ascii-sharing,ascii,1,plain,1000,resize,60,60,0,1830451483,2101,2258
ascii-sharing,ascii,1,plain,1000,drag,60,60,0,1797951353,106,110
ascii-sharing,ascii,1,plain,1000,copy,60,0,16730,4053437227,154,180
wrap,ascii,0,rich,1000,open,60,60,0,3858414627,8754,11036
wrap,ascii,0,rich,1000,rebuild-same,60,0,0,3858414627,96,103
wrap,ascii,0,rich,1000,rebuild-equal,60,0,0,3858414627,97,104
wrap,ascii,0,rich,1000,edit,60,60,0,2284405263,8823,11296
wrap,ascii,0,rich,1000,resize,60,60,0,3858414627,5642,6128
wrap,ascii,0,rich,1000,drag,60,60,0,3831988741,123,135
wrap,ascii,0,rich,1000,copy,60,0,16730,2752129767,160,193
wrap,ascii,1,rich,1000,open,60,60,0,3858414627,8778,10242
wrap,ascii,1,rich,1000,rebuild-same,60,0,0,3858414627,100,102
wrap,ascii,1,rich,1000,rebuild-equal,60,0,0,3858414627,99,105
wrap,ascii,1,rich,1000,edit,60,60,0,2284405263,9160,11658
wrap,ascii,1,rich,1000,resize,60,60,0,3858414627,5713,6230
wrap,ascii,1,rich,1000,drag,60,60,0,3831988741,127,138
wrap,ascii,1,rich,1000,copy,60,0,16730,2752129767,168,186
wrap,ascii,0,spans,1000,open,60,60,0,2232575019,9575,10623
wrap,ascii,0,spans,1000,rebuild-same,60,0,0,2232575019,128,204
wrap,ascii,0,spans,1000,rebuild-equal,60,0,0,2232575019,139,155
wrap,ascii,0,spans,1000,edit,60,60,0,4052510319,9792,11305
wrap,ascii,0,spans,1000,resize,60,60,0,2232575019,5671,6252
wrap,ascii,0,spans,1000,drag,60,60,0,2618650863,124,127
wrap,ascii,0,spans,1000,copy,60,0,16730,619799109,159,186
wrap,ascii,1,spans,1000,open,60,60,0,2232575019,9731,10676
wrap,ascii,1,spans,1000,rebuild-same,60,0,0,2232575019,134,159
wrap,ascii,1,spans,1000,rebuild-equal,60,0,0,2232575019,141,149
wrap,ascii,1,spans,1000,edit,60,60,0,4052510319,9819,11297
wrap,ascii,1,spans,1000,resize,60,60,0,2232575019,5656,6206
wrap,ascii,1,spans,1000,drag,60,60,0,2618650863,123,133
wrap,ascii,1,spans,1000,copy,60,0,16730,619799109,159,221
wrap,ascii,0,plain,1000,open,60,60,0,1830451483,2764,2945
wrap,ascii,0,plain,1000,rebuild-same,60,0,0,1830451483,76,82
wrap,ascii,0,plain,1000,rebuild-equal,60,0,0,1830451483,80,85
wrap,ascii,0,plain,1000,edit,60,60,0,37686951,2724,2926
wrap,ascii,0,plain,1000,resize,60,60,0,1830451483,1947,2060
