scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,version,phasesUs
board-64-keyed-false,replace-subtree,300,306,469,300,terminal,251641503,1,candidate,"{""build"": 236, ""coverage"": 0, ""layout"": 5, ""paint"": 42, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-true,one-label,300,136,184,300,terminal,251641503,1,candidate,"{""build"": 76, ""coverage"": 0, ""layout"": 0, ""paint"": 37, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-true,all-labels,300,172,225,300,terminal,251641503,1,candidate,"{""build"": 111, ""coverage"": 0, ""layout"": 0, ""paint"": 37, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-true,reverse,300,150,214,300,terminal,251641503,1,candidate,"{""build"": 84, ""coverage"": 0, ""layout"": 2, ""paint"": 38, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-true,replace-subtree,300,363,597,300,terminal,251641503,1,candidate,"{""build"": 293, ""coverage"": 0, ""layout"": 5, ""paint"": 42, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,one-label,300,223,327,300,terminal,251641503,1,candidate,"{""build"": 70, ""coverage"": 0, ""layout"": 0, ""paint"": 128, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,all-labels,300,364,469,300,terminal,251641503,1,candidate,"{""build"": 210, ""coverage"": 0, ""layout"": 0, ""paint"": 130, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,reverse,300,404,521,300,terminal,251641503,1,candidate,"{""build"": 214, ""coverage"": 0, ""layout"": 23, ""paint"": 134, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,replace-subtree,300,2244,3136,300,terminal,251641503,1,candidate,"{""build"": 2021, ""coverage"": 0, ""layout"": 24, ""paint"": 148, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-true,one-label,300,457,652,300,terminal,251641503,1,candidate,"{""build"": 304, ""coverage"": 0, ""layout"": 0, ""paint"": 126, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
