kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,probe,variant,run
plain,spec,False,1000,rebuild-equal,60,0,0,1830451483,82,112,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,False,1000,edit,60,60,0,37686951,1321,1966,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,False,1000,resize,60,60,0,1830451483,101,162,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,False,1000,drag,60,60,0,1797951353,82,157,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,False,1000,copy,60,0,16730,4053437227,88,152,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,False,1000,copy-all,60,0,5109930,2704721301,121,238,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,True,10000,open,60,60,0,1830451483,35581,50834,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,True,10000,rebuild-same,60,0,0,1830451483,84,301,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,True,10000,rebuild-equal,60,0,0,1830451483,83,89,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,True,10000,edit,60,60,0,37686951,33928,39413,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,True,10000,resize,60,60,0,1830451483,27685,31518,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,True,10000,drag,60,60,0,2724726841,108,144,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
