kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,run,variant
plain,spec,True,10000,copy-all,50,0,43799940,3813876293,622,2070,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,False,10000,open,50,50,0,1830451483,14281,15861,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,10000,rebuild-same,50,0,0,1830451483,76,83,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,10000,rebuild-equal,50,0,0,1830451483,76,78,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,10000,edit,50,50,0,37686951,14336,15690,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,10000,resize,50,50,0,1830451483,665,6667,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,10000,drag,50,50,0,2724726841,104,107,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,10000,copy,50,0,14340,1404687173,163,228,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,10000,copy-all,50,0,43799940,3813876293,578,1269,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,10000,open,50,50,0,1830451483,14276,15891,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,False,10000,rebuild-same,50,0,0,1830451483,80,87,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,False,10000,rebuild-equal,50,0,0,1830451483,76,89,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,False,10000,edit,50,50,0,37686951,14456,15623,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,False,10000,resize,50,50,0,1830451483,3701,4316,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,False,10000,drag,50,50,0,2724726841,104,126,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,False,10000,copy,50,0,14340,1404687173,152,192,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,False,10000,copy-all,50,0,43799940,3813876293,609,1609,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,True,1000,open,50,50,0,1830451483,2819,3171,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,1000,rebuild-same,50,0,0,1830451483,76,86,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,1000,rebuild-equal,50,0,0,1830451483,76,77,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,1000,edit,50,50,0,37686951,2772,2975,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,1000,resize,50,50,0,1830451483,2303,2517,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,1000,drag,50,50,0,1797951353,77,103,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,1000,copy,50,0,14340,4053437227,82,91,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,1000,copy-all,50,0,4379940,2704721301,116,131,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,True,1000,open,50,50,0,1830451483,2846,3142,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,True,1000,rebuild-same,50,0,0,1830451483,77,95,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,True,1000,rebuild-equal,50,0,0,1830451483,79,92,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,True,1000,edit,50,50,0,37686951,2802,3016,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,True,1000,resize,50,50,0,1830451483,2017,2257,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,True,1000,drag,50,50,0,1797951353,77,82,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,True,1000,copy,50,0,14340,4053437227,85,93,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,True,1000,copy-all,50,0,4379940,2704721301,114,188,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,equal
plain,spec,False,1000,open,50,50,0,1830451483,1450,1576,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,False,1000,rebuild-same,50,0,0,1830451483,76,79,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,False,1000,rebuild-equal,50,0,0,1830451483,76,99,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,False,1000,edit,50,50,0,37686951,1465,1669,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,False,1000,resize,50,50,0,1830451483,385,456,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,False,1000,drag,50,50,0,1797951353,80,118,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
plain,spec,False,1000,copy,50,0,14340,4053437227,87,93,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",2,base
